frame,start_year,birds_falling
292,-2153,0
293,-2143,0
294,-2134,0
295,-2124,0
296,-2114,0
297,-2104,0
298,-2094,0
299,-2085,0
300,-2075,1
301,-2065,0
302,-2056,0
303,-2046,0
304,-2036,1
305,-2026,1
306,-2016,1
307,-2007,0
308,-1997,0
309,-1987,0
310,-1978,0
311,-1968,0
312,-1958,0
313,-1948,0
314,-1938,0
315,-1929,0
316,-1919,0
317,-1909,1
318,-1900,0
319,-1890,0
320,-1880,0
321,-1870,0
322,-1860,0
323,-1851,1
324,-1841,0
325,-1831,0
326,-1822,1
327,-1812,1
328,-1802,1
329,-1792,1
330,-1782,0
331,-1773,0
332,-1763,0
333,-1753,0
334,-1744,0
335,-1734,0
336,-1724,1
337,-1714,0
338,-1704,0
339,-1695,0
340,-1685,0
341,-1675,0
342,-1666,0
343,-1656,0
344,-1646,0
345,-1636,0
346,-1626,0
347,-1617,1
348,-1607,0
349,-1597,0
350,-1588,0
351,-1578,0
352,-1568,0
353,-1558,1
354,-1548,0
355,-1539,0
356,-1529,0
357,-1519,0
358,-1510,1
359,-1500,1
360,-1490,1
361,-1480,0
362,-1470,1
363,-1461,0
364,-1451,1
365,-1441,1
366,-1432,2
367,-1422,1
368,-1412,2
369,-1402,1
370,-1392,1
371,-1383,2
372,-1373,3
373,-1363,2
374,-1354,2
375,-1344,1
376,-1334,2
377,-1324,2
378,-1314,2
379,-1305,3
380,-1295,2
381,-1285,3
382,-1276,4
383,-1266,3
384,-1256,4
385,-1246,2
386,-1236,3
387,-1227,2
388,-1217,4
389,-1207,2
390,-1198,2
391,-1188,2
392,-1178,2
393,-1168,1
394,-1158,1
395,-1149,2
396,-1139,1
397,-1129,3
398,-1120,3
399,-1110,3
400,-1100,3
401,-1090,3
402,-1080,3
403,-1071,3
404,-1061,3
405,-1051,3
406,-1042,3
407,-1032,3
408,-1022,2
409,-1012,4
410,-1002,4
411,-993,3
412,-983,5
413,-973,4
414,-964,3
415,-954,4
416,-944,2
417,-934,4
418,-924,2
419,-915,3
420,-905,3
421,-895,5
422,-886,6
423,-876,1
424,-866,1
425,-856,2
426,-846,1
427,-837,4
428,-827,6
429,-817,6
430,-808,5
431,-798,3
432,-788,1
433,-778,3
434,-768,2
435,-759,3
436,-749,1
437,-739,2
438,-730,2
439,-720,2
440,-710,1
441,-700,1
442,-690,1
443,-681,1
444,-671,1
445,-661,1
446,-652,1
447,-642,1
448,-632,1
449,-622,1
450,-612,1
451,-603,2
452,-593,1
453,-583,2
454,-574,1
455,-564,1
456,-554,1
457,-544,1
458,-534,2
459,-525,2
460,-515,2
461,-505,2
462,-496,2
463,-486,2
464,-476,2
465,-466,2
466,-456,2
467,-447,2
468,-437,1
469,-427,1
470,-418,1
471,-408,1
472,-398,1
473,-388,1
474,-378,1
475,-369,1
476,-359,2
477,-349,2
478,-340,2
479,-330,2
480,-320,1
481,-310,2
482,-300,1
483,-291,2
484,-281,1
485,-271,1
486,-262,2
487,-252,1
488,-242,1
489,-232,1
490,-222,2
491,-213,1
492,-203,2
493,-193,1
494,-184,2
495,-174,2
496,-164,1
497,-154,1
498,-144,1
499,-135,1
500,-125,1
501,-115,2
502,-106,2
503,-96,1
504,-86,3
505,-76,2
506,-66,3
507,-57,1
508,-47,3
509,-37,1
510,-28,3
511,-18,3
512,-8,2
513,2,3
514,12,2
515,21,3
516,31,3
517,41,1
518,50,2
519,60,1
520,70,3
521,80,3
522,90,1
523,99,2
524,109,2
525,119,3
526,128,3
527,138,2
528,148,1
529,158,2
530,168,3
531,177,3
532,187,1
533,197,2
534,206,2
535,216,2
536,226,3
537,236,1
538,246,2
539,255,2
540,265,2
541,275,1
542,284,1
543,294,3
544,304,3
545,314,2
546,324,1
547,333,2
548,343,1
549,353,1
550,362,2
551,372,1
552,382,1
553,392,2
554,402,1
555,411,1
556,421,1
557,431,1
558,440,1
559,450,1
560,460,1
561,470,1
562,480,1
563,489,1
564,499,1
565,509,1
566,518,1
567,528,0
568,538,1
569,548,1
570,558,1
571,567,0
572,577,1
573,587,1
574,596,0
575,606,1
576,616,1
577,626,1
578,636,1
579,645,1
580,655,1
581,665,1
582,674,2
583,684,2
584,694,2
585,704,1
586,714,2
587,723,2
588,733,1
589,743,2
590,752,1
591,762,2
592,772,2
593,782,3
594,792,2
595,801,3
596,811,2
597,821,2
598,830,2
599,840,3
600,850,2
601,860,2
602,870,1
603,879,3
604,889,2
605,899,2
606,908,1
607,918,2
608,928,2
609,938,2
610,948,2
611,957,2
612,967,2
613,977,2
614,986,2
615,996,2
616,1006,3
617,1016,3
618,1026,2
619,1035,3
620,1045,3
621,1055,4
622,1064,3
623,1074,3
624,1084,5
625,1094,3
626,1104,5
627,1113,5
628,1123,3
629,1133,3
630,1142,6
631,1152,5
632,1162,6
633,1172,5
634,1182,4
635,1191,5
636,1201,5
637,1211,5
638,1220,4
639,1230,5
640,1240,5
641,1250,3
642,1260,6
643,1269,5
644,1279,6
645,1289,6
646,1298,4
647,1308,8
648,1318,5
649,1328,4
650,1338,12
651,1347,9
652,1357,8
653,1367,13
654,1376,11
655,1386,20
656,1396,15
657,1406,24
658,1416,13
659,1425,14
660,1435,12
661,1445,11
662,1454,9
663,1464,9
664,1474,10
665,1484,10
666,1494,10
667,1503,7
668,1513,7
669,1523,7
670,1532,6
671,1542,7
672,1552,6
673,1562,7
674,1572,6
675,1581,5
676,1591,5
677,1601,5
678,1610,5
679,1620,6
680,1630,5
681,1640,5
682,1650,5
683,1659,6
684,1669,5
685,1679,6
686,1688,5
687,1698,6
688,1708,6
689,1718,6
690,1728,6
691,1737,6
692,1747,5
693,1757,6
694,1766,7
695,1776,7
696,1786,8
697,1796,8
698,1806,7
699,1815,8
700,1825,7
701,1835,7
702,1844,9
703,1854,12
704,1864,8
705,1874,9
706,1884,12
707,1893,9
708,1903,13
709,1913,10
710,1922,11
711,1932,10
712,1942,11
713,1952,12
714,1962,13
715,1971,14
716,1981,12
717,1991,15
718,2000,16
719,2010,15
720,2020,20
721,2025,25
722,2039,32
723,2049,35
724,2058,42
725,2068,51
726,2078,52
727,2088,52
728,2097,53
729,2107,58
730,2116,62
731,2126,68
732,2136,74
733,2146,80
734,2155,86
735,2165,94
736,2175,102
737,2185,111
738,2194,120
739,2200,130
